title;start;optimization;cm_bioen_ef_scen;cm_sspMagScen;cm_fsMagScen;cm_irMagScen;cm_bioen_coemi_factor_CO2;cm_bioen_coemi_factor_N2O;cm_bioenergy_tax;cm_bioenTrdScen;CES_parameters;cm_rcp_scen;cm_iterative_target_adj;cm_nash_autoconverge;cm_iteration_max;c_budgetCO2;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;cm_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergymaxscen;c_ccsinjecratescen;c_ccscapratescen;techpol;cm_POPscen;cm_GDPscen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_OILRETIRE;cm_LU_emi_scen;cm_tradecost_bio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau
SSP2-NDC_Mag-noTaxCO2N2O_tau1p5;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;1.5;1;load;rcp45;3;1;1;0;NDC2018;1;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;2015;./config/input.gdx;SSP2-Base_Mag-noTaxCO2N2O_tau1p5;SSP2-Base_Mag-noTaxCO2N2O_tau1p5
SSP2-PkBudg1300_Mag-noTaxCO2N2O_tau1p5;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;1.5;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau1p5;SSP2-Base_Mag-noTaxCO2N2O_tau1p5
SSP2-Base_Mag-noTaxCO2N2O_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;none;0;1;1;0;none;-1;2100;3;2050;1;0.09;3;1.05;0;1;1;none;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;2005;./config/input.gdx;;
SSP2-NDC_Mag-noTaxCO2N2O_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp45;3;1;1;0;NDC2018;1;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;2015;./config/input.gdx;SSP2-Base_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-Base_Mag-allTaxOff_tau1p5;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;1.5;1;load;none;0;1;1;0;none;-1;2100;3;2050;1;0.09;3;1.05;0;1;1;none;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;2005;./config/input.gdx;;
SSP2-NDC_Mag-allTaxOff_tau1p5;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;1.5;1;load;rcp45;3;1;1;0;NDC2018;1;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;2015;./config/input.gdx;SSP2-Base_Mag-allTaxOff_tau1p5;SSP2-Base_Mag-allTaxOff_tau1p5
SSP2-PkBudg1300_Mag-allTaxOff_tau1p5;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;1.5;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-allTaxOff_tau1p5;SSP2-Base_Mag-allTaxOff_tau1p5
SSP2-Base_Mag-allTaxOff_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;none;0;1;1;0;none;-1;2100;3;2050;1;0.09;3;1.05;0;1;1;none;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;2005;./config/input.gdx;;
SSP2-NDC_Mag-allTaxOff_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp45;3;1;1;0;NDC2018;1;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;2015;./config/input.gdx;SSP2-Base_Mag-allTaxOff_tau0;SSP2-Base_Mag-allTaxOff_tau0
SSP2-PkBudg1300_Mag-allTaxOff_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-allTaxOff_tau0;SSP2-Base_Mag-allTaxOff_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_efCO2-00;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_efCO2-05;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;5;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_efCO2-10;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;10;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_efCO2-20;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;20;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_efCO2-30;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;30;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_efCO2-40;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;40;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_efCO2-50;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;50;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_efCO2-60;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;60;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-Base_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;none;0;1;1;0;none;-1;2100;3;2050;1;0.09;3;1.05;0;1;1;none;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;2005;./config/input.gdx;;
SSP2-NDC_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp45;3;1;1;0;NDC2018;1;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;2015;./config/input.gdx;SSP2-Base_tau0;SSP2-Base_tau0
SSP2-PkBudg1300_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_tau0;SSP2-Base_tau0
SSP2-PkBudg1300_testDirectInput;0;nash;directInput;ssp2;TypeALL;WaterRAINFED;11.11;11.11;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;./output/C_SSP2-NDC_Mag-noTaxCO2N2O_tau0-rem-5/fulldata.gdx;./output/C_SSP2-Base_Mag-noTaxCO2N2O_tau0-rem-5/fulldata.gdx
SSP2-PkBudg1300_testExoInput_typeALL;0;nash;T0-th_2020_2100-B100-global;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;./output/C_SSP2-NDC_Mag-noTaxCO2N2O_tau0-rem-5/fulldata.gdx;./output/C_SSP2-Base_Mag-noTaxCO2N2O_tau0-rem-5/fulldata.gdx
SSP2-PkBudg1300_testExoInput_typeBETR;0;nash;T0-th_2020_2100-B100-global;ssp2;TypeBETR;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;./output/C_SSP2-NDC_Mag-noTaxCO2N2O_tau0-rem-5/fulldata.gdx;./output/C_SSP2-Base_Mag-noTaxCO2N2O_tau0-rem-5/fulldata.gdx
SSP2-PkBudg1300_default;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;./output/C_SSP2-NDC_Mag-noTaxCO2N2O_tau0-rem-5/fulldata.gdx;./output/C_SSP2-Base_Mag-noTaxCO2N2O_tau0-rem-5/fulldata.gdx
SSP2-PkBudg900_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp20;9;1;1;900;diffCurvPhaseIn2Lin;200;2045;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_tau0;SSP2-Base_tau0
SSP2-PkBudg1100_tau0;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1100;diffCurvPhaseIn2Lin;100;2080;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_tau0;SSP2-Base_tau0
SSP2-PkBudg1300_Mag-noTaxCO2N2O_Rem-noBio2;0;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;1;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;9;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_Mag-noTaxCO2N2O_tau0;SSP2-Base_Mag-noTaxCO2N2O_tau0
SSP2-Base_tau0_noTrdBio;1;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;0;load;none;0;1;1;0;none;-1;2100;3;2050;1;0.09;3;1.05;0;1;1;none;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;2005;./config/input.gdx;;
SSP2-NDC_tau0_noTrdBio;1;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;0;load;rcp45;3;1;1;0;NDC2018;1;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;2015;./config/input.gdx;SSP2-Base_tau0_noTrdBio;SSP2-Base_tau0_noTrdBio
SSP2-PkBudg1300_tau0_noTrdBio;1;nash;off;ssp2;TypeALL;WaterRAINFED;0;0;0;0;load;rcp26;9;1;1;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;2025;./config/input.gdx;SSP2-NDC_tau0_noTrdBio;SSP2-Base_tau0_noTrdBio
